country,cont,area,rain,prec.mean,prec.med,prec.mod,slope,pop1999,tflcpc,tfc2000,tfc1990,tfl,nflcpc,nfc2000,nfc1990,nfl,floods,floodsev,duravg,areaflavg,areaaffavg,kill,disp,damage,GNI,PPPGNI,humzone,urban,crop,cropnat
PNG,Asia,45239,1083.8,3061.7901,2904,2139,3.062170543,4702000,4,30601,31825,1224,4,30511,31731,1220,4,1.0526,4.000,NA,9590,20,89723,5997873,3,12,perhumid,52,5672,27756
SriLanka,Asia,6463,2241.5,1874.3985,1650,1348,0.988005,18639000,16,1940,2250,310,22,1625,1983,358,19,1.1250,8.667,7225,13598,9,128820,926000,16,67,subhumid,212,24143,30005
Thailand,Asia,51089,1466.9,1499.5001,1325,1123,1.676843023,60856000,7,14762,15795,1033,29,9842,12696,2854,15,1.2500,25.071,168660,49415,61,688868,149271429,123,425,subhumid,983,271973,29162
Vietnam,Asia,32550,1828.8,1791.7872,1717,1693,2.936986364,78705000,-5,9819,9328,-491,3,8108,8351,243,25,1.1500,10.542,116375,51215,69,284411,56893182,35,185,perhumid,576,106520,75155
Argentina,SouthAmerica,273669,954.3,540.492,465,179,0.844885714,36577000,8,34648,37420,2772,11,33722,37431,3709,7,1.4286,20.286,2001500,247100,4,4733,400000000,154,387,semiarid,3292,368279,509632
Bolivia,SouthAmerica,108438,610.3,1150.5194,1163,62,1.46876376,8142000,3,53068,54660,1592,3,53022,54613,1591,4,1.3333,7.500,10500000,NA,20,17563,67500000,8,21,semiarid,116,16882,77470
Brazil,SouthAmerica,845651,1600.2,1754.4866,1722,1536,0.502088627,167988000,4,543905,565661,21756,4,538924,560481,21557,19,1.2353,13.842,NA,246663,28,18653,75000000,495,1300,perhumid,9832,584276,1557090
Chile,SouthAmerica,74881,381,1029.2527,768,0,4.957718631,15019000,1,15536,15691,155,8,13519,14601,1082,6,1.2142,7.746,NA,78962,25,27508,31166667,66,147,semiarid,628,14185,49929
Colombia,SouthAmerica,103871,943.9,2670.4674,2684,2847,1.864799194,41564000,4,49601,51585,1984,4,49460,51438,1978,8,1.0000,5.000,2151000,9323,27,8898,NA,80,269,perhumid,528,49648,148532
CostaRica,SouthAmerica,5106,1873,2968.8674,2962,2410,2.02125625,3933000,8,1968,2125,157,14,1790,2041,251,4,1.0000,6.500,NA,NA,9,10000,NA,16,34,perhumid,25,8406,5315
Cuba,SouthAmerica,10982,1219.2,1327.431,1345,1306,0.623444444,11160000,-13,2348,2043,-305,-1,1867,1848,-19,2,1.0000,4.000,NA,NA,2,6650,NA,NA,NA,subhumid,406,48201,0
DomRep,SouthAmerica,4838,1383.7,1366.8454,1366,1617,2.053057143,8364000,NA,1376,NA,NA,3,1346,1386,40,1,1.0000,3.000,NA,NA,2,200,NA,NA,54,perhumid,127,9743,0
Ecuador,SouthAmerica,27684,1172.3,2001.0589,1943,862,2.710487805,12411000,12,10557,11824,1267,13,10390,11741,1351,6,1.1784,7.870,4223487,44143,16,17150,34555556,19,43,perhumid,259,23702,37299
ElSalvador,SouthAmerica,2072,1791.3,1832.8675,1829,1859,4.571428571,6154000,46,121,177,56,61,107,172,65,5,1.0000,6.600,NA,NA,5,5133,NA,14,31,subhumid,180,6862,6513
Guatemala,SouthAmerica,10843,1188,1996.9555,1771,1687,3.155428571,11090000,17,2850,3335,485,22,2717,3315,598,4,1.0000,11.000,NA,12785,15,1800,NA,21,48,perhumid,213,27948,8811
